match,score,result,model_prob,fair_odds,market_score_odds,edge,value,home_lambda,away_lambda
USA vs Paraguay,5-2,H,0.001495710670680661,668.5785022479813,,,False,1.35,0.85
USA vs Paraguay,3-4,A,0.0009882496200885025,1011.8900930216853,,,False,1.35,0.85
USA vs Paraguay,6-0,H,0.000931584500769962,1073.4399286092587,,,False,1.35,0.85
USA vs Paraguay,6-1,H,0.0007918468256544677,1262.8705042461868,,,False,1.35,0.85
USA vs Paraguay,1-5,A,0.0005530944375803964,1808.0095044431587,,,False,1.35,0.85
USA vs Paraguay,5-3,H,0.0004237846900261873,2359.6888314634634,,,False,1.35,0.85
USA vs Paraguay,0-5,A,0.00040969958339288616,2440.8128309982644,,,False,1.35,0.85
USA vs Paraguay,2-5,A,0.0003733387453667675,2678.53259917505,,,False,1.35,0.85
USA vs Paraguay,6-2,H,0.0003365349009031487,2971.460009991028,,,False,1.35,0.85
USA vs Paraguay,4-4,D,0.0003335342467798697,2998.1928682124003,,,False,1.35,0.85
USA vs Paraguay,3-5,A,0.0001680024354150454,5952.294664833444,,,False,1.35,0.85
USA vs Paraguay,6-3,H,9.535155525589213e-05,10487.505917615395,,,False,1.35,0.85
USA vs Paraguay,5-4,H,9.005424663056481e-05,11104.418030416298,,,False,1.35,0.85
USA vs Paraguay,1-6,A,7.83550453238895e-05,12762.42003136347,,,False,1.35,0.85
USA vs Paraguay,0-6,A,5.804077431399221e-05,17229.26704234069,,,False,1.35,0.85
USA vs Paraguay,4-5,A,5.6700821952577835e-05,17636.428636543533,,,False,1.35,0.85
USA vs Paraguay,2-6,A,5.288965559362541e-05,18907.288935353292,,,False,1.35,0.85
USA vs Paraguay,3-6,A,2.3800345017131437e-05,42016.19763411842,,,False,1.35,0.85
USA vs Paraguay,6-4,H,2.0262205491877082e-05,49352.96902407244,,,False,1.35,0.85
USA vs Paraguay,5-5,D,1.5309221927196016e-05,65320.106061272345,,,False,1.35,0.85
USA vs Paraguay,4-6,A,8.03261644328186e-06,124492.43743442494,,,False,1.35,0.85
USA vs Paraguay,6-5,H,3.444574933619103e-06,290311.5824945438,,,False,1.35,0.85
USA vs Paraguay,5-6,A,2.1688064396861027e-06,461083.1016089812,,,False,1.35,0.85
USA vs Paraguay,6-6,D,4.87981448929373e-07,2049258.2293732502,,,False,1.35,0.85
