match_id,date,competition,league_name,home_team,away_team,home_goals,away_goals,result,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff,home_expected_score,away_expected_score,elo_home_change,elo_away_change,home_lambda,away_lambda,model_home_prob,model_draw_prob,model_away_prob,top_score_1,top_score_1_prob,top_score_2,top_score_2_prob,top_score_3,top_score_3_prob
SP1_2324_253,2024-02-24,SP1,La Liga,Almeria,Ath Madrid,2,2,D,1336.717346284128,1606.841483591788,1344.3549382314038,1599.2038916445122,-270.12413730766025,0.245413601757471,0.7545863982425289,7.637591947275868,-7.637591947275868,0.6871478830057488,2.652267503216266,0.07283029422462073,0.13644789537643315,0.7907218103989462,0-2,0.1249262168966335,0-3,0.11044591512489596,0-1,0.09420333110830036
SP1_2324_252,2024-02-24,SP1,La Liga,Alaves,Mallorca,1,1,D,1468.1810688409053,1431.8720206140915,1463.5334039473544,1436.5196855076424,36.30904822681373,0.654922163118364,0.3450778368816359,-4.647664893550921,4.647664893550921,1.4782769890979846,1.2328542035360055,0.4286392221731688,0.2553300740069856,0.3160307038198457,1-1,0.12112996805813152,1-0,0.09825165677394221,2-1,0.08953182223525485
E0_2324_254,2024-02-24,E0,Premier League,Bournemouth,Man City,0,1,A,1484.0387949277622,1646.4237328394595,1472.7339156472797,1657.728612119942,-162.3849379116973,0.3768293093494174,0.6231706906505826,-11.304879280482522,11.304879280482522,0.8995525982375288,2.026007154635293,0.15868157908595223,0.206099473735395,0.6352189471786528,0-2,0.11010598619451215,0-1,0.10869259364914004,1-2,0.09904612596277888
SP1_2324_251,2024-02-24,SP1,La Liga,Barcelona,Getafe,4,0,H,1616.799733150508,1501.660839021796,1627.9729164517646,1490.4876557205394,115.13889412871208,0.7492333123775035,0.2507666876224965,11.173183301256588,-11.173183301256588,1.8002973177182469,1.0123327864032445,0.5585234603527441,0.2307046954928469,0.21077184415440903,1-1,0.10944755530500079,1-0,0.10811420589652256,2-1,0.09851907012320621
D1_2324_202,2024-02-24,D1,Bundesliga,Werder Bremen,Darmstadt,1,1,D,1513.5673174570504,1358.88851997519,1504.8812044353854,1367.5746329968551,154.67879748186033,0.7895371007221655,0.2104628992778344,-8.686113021664966,8.686113021664966,1.9873489927216144,0.9170508082247505,0.6229253938112395,0.210499874314289,0.16657473187447155,1-0,0.10889503391170814,2-0,0.1082062179784096,1-1,0.09986227886039357
D1_2324_203,2024-02-24,D1,Bundesliga,Bayern Munich,RB Leipzig,2,1,H,1623.5352767519082,1558.238839179554,1632.7872696988609,1548.9868462326017,65.29643757235408,0.6916002351015884,0.3083997648984116,9.251992946952347,-9.251992946952347,1.5893826754075844,1.1466716154639314,0.47606791407221405,0.24904901619501116,0.2748830697327748,1-1,0.11815020026111545,1-0,0.10303752065347246,2-1,0.09389294069547678
F1_2324_202,2024-02-25,F1,Ligue 1,Le Havre,Reims,1,2,A,1466.4614942301455,1482.0633082375157,1448.9217639892222,1499.603038478439,-15.60181400736974,0.5846576746974498,0.4153423253025502,-17.539730240923493,17.539730240923493,1.2983575692587443,1.403696518702855,0.3469197392925438,0.2576569576415502,0.39542330306590606,1-1,0.12223385423928733,0-1,0.09414498527479823,1-0,0.08707997249451234
E0_2324_256,2024-02-25,E0,Premier League,Wolves,Sheffield United,1,0,H,1514.500368617778,1338.436153567832,1520.222416769253,1332.714105416357,176.06421504994591,0.8092650616174968,0.1907349383825032,5.7220481514750965,-5.7220481514750965,2.096491283707254,0.8693096003610609,0.6567589038298917,0.19798481178678276,0.14525628438332575,2-0,0.1132583150359446,1-0,0.10804558637197709,2-1,0.09845654058146414
SP1_2324_254,2024-02-25,SP1,La Liga,Cadiz,Celta,2,2,D,1375.2997042988898,1425.9465272737611,1374.2500116758654,1426.9962198967855,-50.64682297487138,0.5349897541008096,0.4650102458991904,-1.049692623024289,1.049692623024289,1.1894458602502072,1.5322261070517547,0.29535307864478844,0.2526544375186061,0.4519924838366055,1-1,0.11986063163690087,0-1,0.1007701448569399,1-2,0.09182679450088649
F1_2324_204,2024-02-25,F1,Ligue 1,Toulouse,Lille,3,1,H,1451.1960664700528,1574.1309759551311,1472.3904798754434,1552.9365625497403,-122.93490948507838,0.4314505178500198,0.5685494821499801,21.194413405390694,-21.194413405390694,0.992793411631671,1.8357293457504857,0.20157420640195411,0.22707099433382116,0.5713547992642247,0-1,0.10850566347463,1-1,0.10772370782233591,0-2,0.09959351531025244
