match_id,bookmaker,home_odds,draw_odds,away_odds,timestamp,league_name
E0_2324_314,B365,1.44,5.0,6.5,2024-04-13,Premier League
E0_2324_315,B365,3.5,3.75,2.0,2024-04-13,Premier League
E0_2324_316,B365,1.1,11.0,19.0,2024-04-13,Premier League
E0_2324_317,B365,2.1,3.4,3.5,2024-04-13,Premier League
E0_2324_318,B365,2.4,3.9,2.6,2024-04-13,Premier League
E0_2324_319,B365,1.22,7.0,12.0,2024-04-14,Premier League
E0_2324_320,B365,2.38,3.6,2.8,2024-04-14,Premier League
E0_2324_321,B365,1.29,5.75,10.0,2024-04-14,Premier League
E0_2324_322,B365,1.7,4.2,4.5,2024-04-15,Premier League
E0_2324_323,B365,3.1,3.75,2.15,2024-04-20,Premier League
E0_2324_324,B365,2.75,3.6,2.45,2024-04-20,Premier League
E0_2324_325,B365,8.5,4.5,1.4,2024-04-20,Premier League
E0_2324_326,B365,2.05,3.5,3.6,2024-04-21,Premier League
E0_2324_327,B365,1.85,4.0,3.6,2024-04-21,Premier League
E0_2324_328,B365,2.1,3.6,3.4,2024-04-21,Premier League
E0_2324_329,B365,5.25,4.5,1.57,2024-04-21,Premier League
E0_2324_330,B365,1.44,5.0,6.0,2024-04-23,Premier League
E0_2324_331,B365,2.7,3.6,2.5,2024-04-24,Premier League
E0_2324_332,B365,2.75,3.6,2.4,2024-04-24,Premier League
E0_2324_333,B365,7.0,5.0,1.4,2024-04-24,Premier League
E0_2324_334,B365,1.3,6.5,7.5,2024-04-24,Premier League
E0_2324_335,B365,6.5,5.0,1.4,2024-04-25,Premier League
E0_2324_336,B365,5.5,5.0,1.5,2024-04-27,Premier League
E0_2324_337,B365,2.1,3.5,3.5,2024-04-27,Premier League
E0_2324_338,B365,1.5,4.75,5.5,2024-04-27,Premier League
E0_2324_339,B365,1.22,7.0,11.0,2024-04-27,Premier League
E0_2324_340,B365,1.95,3.8,3.6,2024-04-27,Premier League
E0_2324_341,B365,2.3,3.5,3.0,2024-04-27,Premier League
E0_2324_342,B365,2.15,3.8,3.0,2024-04-27,Premier League
E0_2324_343,B365,2.25,3.8,2.9,2024-04-28,Premier League
E0_2324_344,B365,4.2,4.2,1.75,2024-04-28,Premier League
E0_2324_345,B365,8.0,6.0,1.3,2024-04-28,Premier League
E0_2324_346,B365,2.15,3.8,3.0,2024-05-02,Premier League
E0_2324_347,B365,2.6,3.6,2.55,2024-05-03,Premier League
E0_2324_348,B365,1.22,7.5,11.0,2024-05-04,Premier League
E0_2324_349,B365,2.1,3.8,3.2,2024-05-04,Premier League
E0_2324_350,B365,3.4,4.0,1.95,2024-05-04,Premier League
E0_2324_351,B365,4.75,4.2,1.65,2024-05-04,Premier League
E0_2324_352,B365,1.08,12.0,21.0,2024-05-04,Premier League
E0_2324_353,B365,2.75,3.75,2.45,2024-05-05,Premier League
E0_2324_354,B365,1.65,4.5,4.5,2024-05-05,Premier League
E0_2324_355,B365,1.5,5.75,5.0,2024-05-05,Premier League
E0_2324_356,B365,2.38,3.75,2.8,2024-05-06,Premier League
E0_2324_357,B365,13.0,7.0,1.2,2024-05-11,Premier League
E0_2324_358,B365,1.95,4.0,3.5,2024-05-11,Premier League
E0_2324_359,B365,1.4,4.8,7.5,2024-05-11,Premier League
E0_2324_360,B365,1.57,4.75,4.75,2024-05-11,Premier League
E0_2324_361,B365,1.36,5.75,7.0,2024-05-11,Premier League
E0_2324_362,B365,1.8,4.2,3.8,2024-05-11,Premier League
E0_2324_363,B365,2.88,3.5,2.38,2024-05-11,Premier League
E0_2324_364,B365,3.4,3.8,2.0,2024-05-11,Premier League
E0_2324_365,B365,7.0,5.5,1.36,2024-05-12,Premier League
E0_2324_366,B365,4.2,4.33,1.7,2024-05-13,Premier League
E0_2324_367,B365,6.5,6.0,1.36,2024-05-14,Premier League
E0_2324_368,B365,3.3,4.0,1.95,2024-05-15,Premier League
E0_2324_369,B365,2.75,4.0,2.3,2024-05-15,Premier League
E0_2324_370,B365,1.18,8.0,12.0,2024-05-19,Premier League
E0_2324_371,B365,2.9,3.9,2.2,2024-05-19,Premier League
E0_2324_372,B365,2.15,4.0,2.9,2024-05-19,Premier League
E0_2324_373,B365,3.0,3.5,2.3,2024-05-19,Premier League
E0_2324_374,B365,1.45,5.0,6.0,2024-05-19,Premier League
E0_2324_375,B365,1.85,4.33,3.6,2024-05-19,Premier League
E0_2324_376,B365,1.17,8.0,15.0,2024-05-19,Premier League
E0_2324_377,B365,2.9,3.9,2.2,2024-05-19,Premier League
E0_2324_378,B365,1.08,12.0,21.0,2024-05-19,Premier League
E0_2324_379,B365,7.0,6.0,1.33,2024-05-19,Premier League
SP1_2324_0,B365,2.45,3.3,2.9,2023-08-11,La Liga
SP1_2324_1,B365,1.91,3.5,4.2,2023-08-11,La Liga
SP1_2324_2,B365,1.62,4.0,5.25,2023-08-12,La Liga
SP1_2324_3,B365,2.4,3.0,3.3,2023-08-12,La Liga
SP1_2324_4,B365,3.3,3.5,2.15,2023-08-12,La Liga
SP1_2324_5,B365,2.05,3.2,3.9,2023-08-13,La Liga
SP1_2324_6,B365,1.75,4.0,4.2,2023-08-13,La Liga
SP1_2324_7,B365,6.5,3.8,1.57,2023-08-13,La Liga
SP1_2324_8,B365,2.2,3.0,3.75,2023-08-14,La Liga
SP1_2324_9,B365,1.3,5.5,9.5,2023-08-14,La Liga
SP1_2324_10,B365,2.8,3.2,2.6,2023-08-18,La Liga
SP1_2324_11,B365,1.57,3.9,6.0,2023-08-18,La Liga
SP1_2324_12,B365,1.73,3.4,5.5,2023-08-19,La Liga
SP1_2324_13,B365,8.0,4.75,1.4,2023-08-19,La Liga
